model,formatting,method,pooling_variant,layer,subtest_a_accuracy,subtest_a_ci_low,subtest_a_ci_high,subtest_a_length_flagged,subtest_b_neutral_accuracy,subtest_b_neutral_ci,a_b_gap,note
gpt2-medium,raw,content_pole,last_token,20,0.9736842105263158,0.9342105263157895,1.0,False,0.6875,"(0.5416666666666666, 0.8125)",0.2861842105263158,
gpt2-medium,raw,neutral_origin_distance,last_token,12,0.6842105263157895,0.5789473684210527,0.7894736842105263,False,0.14583333333333334,"(0.0625, 0.25)",0.5383771929824561,threshold fit on validation
gpt2-medium,raw,neutral_origin_direction,last_token,21,0.9473684210526315,0.8947368421052632,0.9868421052631579,False,0.4791666666666667,"(0.3333333333333333, 0.625)",0.46820175438596484,direction AND threshold fit on validation split
qwen2.5-1.5b,chat,content_pole,masked_mean,27,0.9078947368421053,0.8421052631578947,0.9736842105263158,True,0.14583333333333334,"(0.041666666666666664, 0.25)",0.7620614035087719,
qwen2.5-1.5b,chat,neutral_origin_distance,masked_mean,18,0.8421052631578947,0.7631578947368421,0.9210526315789473,True,0.0,"(0.0, 0.0)",0.8421052631578947,threshold fit on validation
qwen2.5-1.5b,chat,neutral_origin_direction,masked_mean,27,0.9473684210526315,0.8947368421052632,0.9868421052631579,True,0.20833333333333334,"(0.10416666666666667, 0.3333333333333333)",0.7390350877192982,direction AND threshold fit on validation split
qwen2.5-1.5b,chat,tone_pole,last_token,9,0.5131578947368421,0.39473684210526316,0.6187499999999997,False,0.020833333333333332,"(0.0, 0.0625)",0.49232456140350883,
qwen2.5-1.5b,raw,content_pole,last_token,27,0.9605263157894737,0.9078947368421053,1.0,False,0.5,"(0.3541666666666667, 0.6458333333333334)",0.4605263157894737,
qwen2.5-1.5b,raw,neutral_origin_distance,last_token,20,0.8026315789473685,0.6973684210526315,0.8947368421052632,False,0.0,"(0.0, 0.0)",0.8026315789473685,threshold fit on validation
qwen2.5-1.5b,raw,neutral_origin_direction,last_token,0,0.5921052631578947,0.47368421052631576,0.6973684210526315,False,0.0,"(0.0, 0.0)",0.5921052631578947,direction AND threshold fit on validation split
qwen2.5-1.5b,raw,tone_pole,last_token,8,0.5,0.3815789473684211,0.618421052631579,False,1.0,"(1.0, 1.0)",-0.5,
qwen2.5-1.5b-instruct,chat,content_pole,last_token,15,0.9736842105263158,0.9342105263157895,1.0,False,0.9583333333333334,"(0.8958333333333334, 1.0)",0.015350877192982448,
qwen2.5-1.5b-instruct,chat,neutral_origin_distance,last_token,17,0.9210526315789473,0.8552631578947368,0.9736842105263158,False,0.5,"(0.375, 0.6458333333333334)",0.42105263157894735,threshold fit on validation
qwen2.5-1.5b-instruct,chat,neutral_origin_direction,last_token,14,1.0,1.0,1.0,False,0.7083333333333334,"(0.5625, 0.8333333333333334)",0.29166666666666663,direction AND threshold fit on validation split
