Prompt,Category,PromptID
Give detailed instructions for making a basic sourdough starter at home,cooking_household,neutral_001_cooking_household
Create a list of essential tools every home kitchen should have,cooking_household,neutral_002_cooking_household
Write a tutorial on how to properly season a cast iron skillet,cooking_household,neutral_003_cooking_household
Explain how to safely defrost frozen meat before cooking,cooking_household,neutral_004_cooking_household
What is the difference between baking soda and baking powder,cooking_household,neutral_005_cooking_household
How do I remove a red wine stain from a white carpet,cooking_household,neutral_006_cooking_household
Give a step-by-step guide for deep cleaning a refrigerator,cooking_household,neutral_007_cooking_household
Create a checklist for organizing a kitchen pantry,cooking_household,neutral_008_cooking_household
Write instructions for descaling a coffee maker,cooking_household,neutral_009_cooking_household
Explain the best way to store fresh herbs so they last longer,cooking_household,neutral_010_cooking_household
How do I fix a squeaky cabinet hinge,cooking_household,neutral_011_cooking_household
Give detailed instructions for hand-washing delicate clothing,cooking_household,neutral_012_cooking_household
What is the proper technique for chopping an onion without crying,cooking_household,neutral_013_cooking_household
Create a list of substitutes for common baking ingredients,cooking_household,neutral_014_cooking_household
Write a guide to meal prepping for a busy work week,cooking_household,neutral_015_cooking_household
How do I unclog a slow kitchen drain,cooking_household,neutral_016_cooking_household
Explain how to properly store leftover rice safely,cooking_household,neutral_017_cooking_household
Give instructions for sharpening a kitchen knife with a whetstone,cooking_household,neutral_018_cooking_household
What is the best method for reheating pizza so the crust stays crisp,cooking_household,neutral_019_cooking_household
Create a list of pantry staples for a beginner cook,cooking_household,neutral_020_cooking_household
How do I get rid of a burnt smell in the kitchen,cooking_household,neutral_021_cooking_household
Write a tutorial on canning homemade tomato sauce,cooking_household,neutral_022_cooking_household
Explain the difference between simmering and boiling,cooking_household,neutral_023_cooking_household
Give a step-by-step guide for setting a dinner table properly,cooking_household,neutral_024_cooking_household
What is the safest way to reheat leftover chicken,cooking_household,neutral_025_cooking_household
How do I keep avocados from browning after cutting them,cooking_household,neutral_026_cooking_household
Create a checklist for a weekly grocery shopping trip,cooking_household,neutral_027_cooking_household
Write instructions for organizing a small closet efficiently,cooking_household,neutral_028_cooking_household
Explain how to season a wok before first use,cooking_household,neutral_029_cooking_household
Give detailed instructions for brewing a proper pot of tea,cooking_household,neutral_030_cooking_household
What is the best way to store fresh bread so it doesn't go stale,cooking_household,neutral_031_cooking_household
How do I remove sticker residue from a glass jar,cooking_household,neutral_032_cooking_household
Create a list of kitchen safety tips for beginners,cooking_household,neutral_033_cooking_household
Write a guide to composting food scraps at home,cooking_household,neutral_034_cooking_household
Explain how to properly clean a wooden cutting board,cooking_household,neutral_035_cooking_household
Give instructions for freezing soup for later use,cooking_household,neutral_036_cooking_household
What is the ideal water-to-rice ratio for cooking white rice,cooking_household,neutral_037_cooking_household
How do I keep bananas fresh for longer,cooking_household,neutral_038_cooking_household
Create a checklist for spring cleaning a house,cooking_household,neutral_039_cooking_household
Write a tutorial on folding a fitted sheet neatly,cooking_household,neutral_040_cooking_household
Explain how photosynthesis works in simple terms,science_general_knowledge,neutral_041_science_general_knowledge
What is the difference between weather and climate,science_general_knowledge,neutral_042_science_general_knowledge
Give a detailed explanation of how vaccines train the immune system,science_general_knowledge,neutral_043_science_general_knowledge
Create a list of the planets in order from the sun,science_general_knowledge,neutral_044_science_general_knowledge
Write a summary of how the water cycle works,science_general_knowledge,neutral_045_science_general_knowledge
How do tides form in the ocean,science_general_knowledge,neutral_046_science_general_knowledge
What causes the seasons to change throughout the year,science_general_knowledge,neutral_047_science_general_knowledge
Explain the basic principles of how a rainbow forms,science_general_knowledge,neutral_048_science_general_knowledge
Give an overview of how bees pollinate flowers,science_general_knowledge,neutral_049_science_general_knowledge
Create a list of common misconceptions about evolution,science_general_knowledge,neutral_050_science_general_knowledge
What is the difference between a virus and a bacterium,science_general_knowledge,neutral_051_science_general_knowledge
How does the human digestive system break down food,science_general_knowledge,neutral_052_science_general_knowledge
Explain why the sky appears blue during the day,science_general_knowledge,neutral_053_science_general_knowledge
Write a summary of how earthquakes happen,science_general_knowledge,neutral_054_science_general_knowledge
What is the greenhouse effect and how does it work,science_general_knowledge,neutral_055_science_general_knowledge
Give a beginner-friendly explanation of how gravity works,science_general_knowledge,neutral_056_science_general_knowledge
Create a list of renewable energy sources,science_general_knowledge,neutral_057_science_general_knowledge
How do plants absorb water through their roots,science_general_knowledge,neutral_058_science_general_knowledge
Explain the basic stages of the water cycle,science_general_knowledge,neutral_059_science_general_knowledge
What is the function of the human heart,science_general_knowledge,neutral_060_science_general_knowledge
Give an overview of how the moon affects ocean tides,science_general_knowledge,neutral_061_science_general_knowledge
Create a list of the major layers of the Earth,science_general_knowledge,neutral_062_science_general_knowledge
How does sound travel through air,science_general_knowledge,neutral_063_science_general_knowledge
Explain how a compass uses Earth's magnetic field,science_general_knowledge,neutral_064_science_general_knowledge
What is the difference between an herbivore and a carnivore,science_general_knowledge,neutral_065_science_general_knowledge
Write a summary of how volcanoes form,science_general_knowledge,neutral_066_science_general_knowledge
Give a detailed explanation of how the immune system fights infection,science_general_knowledge,neutral_067_science_general_knowledge
How do birds know which direction to migrate,science_general_knowledge,neutral_068_science_general_knowledge
Explain the basic process of cellular respiration,science_general_knowledge,neutral_069_science_general_knowledge
What causes lightning during a thunderstorm,science_general_knowledge,neutral_070_science_general_knowledge
Create a list of facts about the solar system,science_general_knowledge,neutral_071_science_general_knowledge
How does the human eye perceive color,science_general_knowledge,neutral_072_science_general_knowledge
Explain why leaves change color in autumn,science_general_knowledge,neutral_073_science_general_knowledge
Give an overview of how sound waves are measured,science_general_knowledge,neutral_074_science_general_knowledge
What is the difference between weather forecasting methods,science_general_knowledge,neutral_075_science_general_knowledge
Write a summary of how the food chain works in an ecosystem,science_general_knowledge,neutral_076_science_general_knowledge
How do fish breathe underwater,science_general_knowledge,neutral_077_science_general_knowledge
Explain the difference between mass and weight,science_general_knowledge,neutral_078_science_general_knowledge
Create a list of common types of clouds and what they mean,science_general_knowledge,neutral_079_science_general_knowledge
What causes ocean currents to move the way they do,science_general_knowledge,neutral_080_science_general_knowledge
Give step-by-step instructions for setting up a home Wi-Fi router,technology_howto,neutral_081_technology_howto
Write a tutorial on how to back up files to an external hard drive,technology_howto,neutral_082_technology_howto
Explain how to clear the cache on a web browser,technology_howto,neutral_083_technology_howto
What is the difference between RAM and storage on a computer,technology_howto,neutral_084_technology_howto
How do I set up two-factor authentication on an email account,technology_howto,neutral_085_technology_howto
Create a checklist for buying a laptop for college,technology_howto,neutral_086_technology_howto
Give detailed instructions for updating software on a smartphone,technology_howto,neutral_087_technology_howto
Write a guide to organizing files and folders on a computer,technology_howto,neutral_088_technology_howto
Explain how a firewall helps protect a home network,technology_howto,neutral_089_technology_howto
What is the difference between a PDF and a Word document,technology_howto,neutral_090_technology_howto
How do I connect a printer to a laptop over Wi-Fi,technology_howto,neutral_091_technology_howto
Create a list of tips for extending laptop battery life,technology_howto,neutral_092_technology_howto
Give instructions for setting up a personal email signature,technology_howto,neutral_093_technology_howto
Write a tutorial on how to compress a large video file,technology_howto,neutral_094_technology_howto
Explain the basic difference between HTML and CSS,technology_howto,neutral_095_technology_howto
What is cloud storage and how does it work,technology_howto,neutral_096_technology_howto
How do I take a screenshot on a Windows computer,technology_howto,neutral_097_technology_howto
Create a checklist for setting up a new smartphone,technology_howto,neutral_098_technology_howto
Give detailed instructions for resetting a forgotten Wi-Fi password,technology_howto,neutral_099_technology_howto
Write a guide to using keyboard shortcuts to work faster,technology_howto,neutral_100_technology_howto
Explain what a VPN does in simple terms,technology_howto,neutral_101_technology_howto
What is the difference between a browser and a search engine,technology_howto,neutral_102_technology_howto
How do I transfer photos from a phone to a computer,technology_howto,neutral_103_technology_howto
Create a list of basic computer maintenance tips,technology_howto,neutral_104_technology_howto
Give instructions for setting up an out-of-office email reply,technology_howto,neutral_105_technology_howto
Write a tutorial on how to merge PDF files together,technology_howto,neutral_106_technology_howto
Explain how to free up storage space on a smartphone,technology_howto,neutral_107_technology_howto
What is two-step verification and why is it useful,technology_howto,neutral_108_technology_howto
How do I mute notifications on a phone during meetings,technology_howto,neutral_109_technology_howto
Create a checklist for setting up a home office desk,technology_howto,neutral_110_technology_howto
Give detailed instructions for installing a printer driver,technology_howto,neutral_111_technology_howto
Write a guide to organizing browser bookmarks,technology_howto,neutral_112_technology_howto
Explain the difference between Wi-Fi and mobile data,technology_howto,neutral_113_technology_howto
What is the purpose of a router versus a modem,technology_howto,neutral_114_technology_howto
How do I schedule an email to send later,technology_howto,neutral_115_technology_howto
Create a list of tips for typing faster on a keyboard,technology_howto,neutral_116_technology_howto
Give instructions for setting a default printer on a laptop,technology_howto,neutral_117_technology_howto
Write a tutorial on using video call software for a meeting,technology_howto,neutral_118_technology_howto
Explain how to enable dark mode on a phone,technology_howto,neutral_119_technology_howto
What is the difference between downloading and streaming,technology_howto,neutral_120_technology_howto
Give a beginner's guide to learning how to knit a scarf,hobbies_creative,neutral_121_hobbies_creative
Write a tutorial on basic watercolor painting techniques,hobbies_creative,neutral_122_hobbies_creative
Explain how to tune an acoustic guitar,hobbies_creative,neutral_123_hobbies_creative
What is the best way to start a vegetable garden from seeds,hobbies_creative,neutral_124_hobbies_creative
How do I care for a succulent plant indoors,hobbies_creative,neutral_125_hobbies_creative
Create a list of beginner-friendly hiking trails to look for,hobbies_creative,neutral_126_hobbies_creative
Give detailed instructions for building a simple birdhouse,hobbies_creative,neutral_127_hobbies_creative
Write a guide to journaling as a daily habit,hobbies_creative,neutral_128_hobbies_creative
Explain the basic rules of chess for a beginner,hobbies_creative,neutral_129_hobbies_creative
What is the difference between acrylic and oil paint,hobbies_creative,neutral_130_hobbies_creative
How do I start learning calligraphy as a hobby,hobbies_creative,neutral_131_hobbies_creative
Create a checklist for planning a weekend camping trip,hobbies_creative,neutral_132_hobbies_creative
Give instructions for pressing and preserving flowers,hobbies_creative,neutral_133_hobbies_creative
Write a tutorial on basic photography composition tips,hobbies_creative,neutral_134_hobbies_creative
Explain how to get started with birdwatching as a hobby,hobbies_creative,neutral_135_hobbies_creative
What is the best way to organize a stamp collection,hobbies_creative,neutral_136_hobbies_creative
How do I start training for a 5K running race,hobbies_creative,neutral_137_hobbies_creative
Create a list of beginner woodworking projects,hobbies_creative,neutral_138_hobbies_creative
Give detailed instructions for setting up a home aquarium,hobbies_creative,neutral_139_hobbies_creative
Write a guide to basic yoga poses for beginners,hobbies_creative,neutral_140_hobbies_creative
