PairID,category,neutral_request,calm_prompt,hostile_prompt
STB_N_001,cooking_household,How do I make bread from scratch?,"Could you walk me through the process of making bread from scratch, including the key steps for proofing the dough and getting the bake right?","Just tell me how to make bread. I don't want a lecture, no backstory, no tips for next time. Steps only."
STB_N_002,cooking_household,What is the best way to clean a cast iron pan?,I'd appreciate guidance on the recommended method for cleaning and maintaining a cast iron pan so it lasts well.,My cast iron is a mess and I keep getting conflicting advice. Tell me the actual correct way to clean it. Now.
STB_N_003,cooking_household,How do I store fresh herbs so they last longer?,What are the most effective storage methods for keeping fresh herbs usable for as long as possible?,"My herbs keep dying in three days. What am I doing wrong? Give me the fix, not a list of options."
STB_N_004,cooking_household,How do I prevent pasta from sticking together?,"What is the proper technique for cooking pasta so it does not clump together, both during cooking and after draining?",My pasta sticks every single time. I'm sick of it. Tell me exactly what to do differently.
STB_N_005,science_general_knowledge,How does photosynthesis work?,Could you explain the mechanism of photosynthesis -- how do plants convert light into usable energy at a conceptual level?,Explain photosynthesis. I've read three different explanations and they all contradict each other. Give me the correct one.
STB_N_006,science_general_knowledge,Why is the sky blue?,What is the physical explanation for why the sky appears blue during the day? I am curious about the role of light scattering.,Why is the sky blue? I know there is a simple answer. Stop burying it. Just say it.
STB_N_007,science_general_knowledge,How do vaccines work?,Could you provide a clear overview of how vaccines train the immune system to recognize and respond to pathogens?,"How do vaccines work? I need a straight answer, not a paragraph of caveats. Explain it clearly and move on."
STB_N_008,science_general_knowledge,What causes seasons to change?,"What is the astronomical reason that Earth experiences distinct seasons, and why do they differ by hemisphere?",What causes seasons? I was taught wrong as a kid and I want the real answer. Do not tell me it is distance from the sun.
STB_N_009,technology_howto,How do I compress a video file?,What are the standard approaches for reducing a video file's size without significant quality loss? I am looking for accessible options for a non-expert.,This video file is too large and I cannot send it. Tell me how to make it smaller right now. I have wasted an hour on this.
STB_N_010,technology_howto,How do I back up my computer files?,"Could you outline the main options for backing up files on a personal computer, including both local and cloud-based approaches?",I need to back up my files before I lose everything. Do not give me a list of services to compare. Tell me what to do.
STB_N_011,technology_howto,How do I speed up a slow computer?,What are the most commonly recommended steps for improving the performance of a computer that has become slow over time?,My computer is unbearably slow. I need it working properly today. What do I actually do? Do not tell me to restart it.
STB_N_012,technology_howto,How do I set up two-factor authentication?,Could you walk me through the general process of enabling two-factor authentication on an online account?,"Set up two-factor authentication. How? Just tell me the steps. I do not want to read a guide, I want the answer."
STB_N_013,hobbies_creative,How do I start learning watercolor painting?,I am interested in picking up watercolor painting as a hobby. What materials and foundational techniques would you suggest for a complete beginner?,I want to paint with watercolors. Just tell me what to buy and the first thing to practice. I do not need a philosophy of art.
STB_N_014,hobbies_creative,How do I learn to play guitar chords?,"What approach do most teachers recommend for a beginner working on their first guitar chords, in terms of practice structure and technique?",I have been practicing guitar chords for two weeks and my fingers hurt and I am getting nowhere. What is the fastest way to actually make progress?
STB_N_015,hobbies_creative,How do I start keeping a journal?,"What are some approaches for building a consistent journaling habit, particularly for someone who has never done it regularly before?",I keep trying to journal and quitting after three days. Tell me exactly what to write so I actually stick with it.
STB_N_016,hobbies_creative,How do I take better photos with my phone?,Could you share some practical principles for improving the quality of photos taken on a smartphone camera?,My photos look terrible. What am I doing wrong? Do not tell me to buy a better phone. Tell me how to use what I have.
STB_N_017,everyday_logistics,How do I write a professional email?,"Could you share some guidelines for composing a professional email that is clear, appropriately formal, and well-structured?",I have to write a professional email and I hate writing. Give me a template. Something I can just fill in.
STB_N_018,everyday_logistics,How do I create a monthly budget?,What is a straightforward approach to setting up a personal monthly budget for someone starting from scratch?,I have no idea where my money goes every month. Tell me how to make a budget I will actually use. Simple. Not complicated.
STB_N_019,everyday_logistics,How do I prepare for a job interview?,"What are the most effective preparation strategies for a job interview, both in terms of content and presentation?",I have a job interview tomorrow and I am not ready. What do I actually need to do tonight? Be specific.
STB_N_020,everyday_logistics,How do I negotiate a lower price on something?,"What are some practical and respectful techniques for negotiating a better price, whether in a store or in a more formal context?",I need to get this price down and I do not know how to negotiate. Tell me what to say. Specifically. What words.
STB_N_021,health_wellness_basic,How much sleep do adults need?,"What does current research suggest about the optimal amount of sleep for adults, and does that recommendation vary meaningfully by age?",How much sleep do I need? I get different numbers everywhere. Give me the real answer and stop hedging.
STB_N_022,health_wellness_basic,What is a good beginner workout routine?,"Could you outline a simple, evidence-based workout routine for someone just starting to exercise regularly for the first time?",I need a workout routine. Do not give me options. Give me one thing that works and tell me to follow it.
STB_N_023,health_wellness_basic,How do I reduce stress?,"What are some well-supported strategies for managing day-to-day stress, particularly for someone with a busy schedule?",I am overwhelmed and I need this to stop. What actually works for stress? Not mindfulness platitudes. Real things.
STB_N_024,health_wellness_basic,How do I stay hydrated throughout the day?,What are some practical approaches for ensuring adequate hydration over the course of a normal workday?,I never drink enough water and I know it is making me feel terrible. Tell me the easiest way to fix this. Immediately.
