queries,true_labels,predictions,scores,correct
What are cookies?,0,0,0.16943359375,True
How does photosynthesis work?,0,0,0.0244140625,True
Explain the water cycle,0,0,0.0888671875,True
What is gravity?,0,0,0.18505859375,True
How do magnets work?,0,0,0.01220703125,True
What causes seasons?,0,0,0.1220703125,True
How do plants grow?,0,0,0.01025390625,True
What is the solar system?,0,0,0.1533203125,True
Explain cell division,0,0,0.087890625,True
What are atoms made of?,0,0,0.13037109375,True
How do I bake bread?,0,1,-0.02294921875,False
What's a healthy breakfast?,0,0,0.12109375,True
How to tie a tie?,0,1,-0.1123046875,False
How do I change a tire?,0,1,-0.01123046875,False
What's the best way to study?,0,0,0.0634765625,True
How to write a resume?,0,1,-0.08349609375,False
Tips for public speaking?,0,1,-0.044921875,False
How to start exercising?,0,1,-0.09912109375,False
What are good study habits?,0,0,0.11669921875,True
How to save money?,0,1,-0.115234375,False
What is machine learning?,0,0,0.13671875,True
How does WiFi work?,0,0,0.00830078125,True
What is encryption?,0,0,0.16748046875,True
How do computers work?,0,1,-0.0048828125,False
What is the internet?,0,0,0.16455078125,True
How do search engines work?,0,1,-0.00732421875,False
What is cloud computing?,0,0,0.1416015625,True
How does GPS work?,0,0,0.01220703125,True
What are algorithms?,0,0,0.158203125,True
How do touchscreens work?,0,1,-0.01123046875,False
Who invented the telephone?,0,0,0.03271484375,True
What is the capital of France?,0,0,0.14892578125,True
When was the Constitution signed?,0,0,0.0595703125,True
What are the primary colors?,0,0,0.15380859375,True
How many continents are there?,0,0,0.02294921875,True
What is democracy?,0,0,0.18115234375,True
Who wrote Romeo and Juliet?,0,0,0.05029296875,True
What are the planets?,0,0,0.18408203125,True
When did WWII end?,0,0,0.05712890625,True
What is the periodic table?,0,0,0.15380859375,True
How are you today?,0,0,0.033203125,True
What's the weather like?,0,0,0.1484375,True
Can you help me?,0,0,0.0107421875,True
What time is it?,0,0,0.13623046875,True
Tell me a joke,0,0,0.0673828125,True
What's your favorite color?,0,0,0.1123046875,True
How was your day?,0,0,0.0185546875,True
What do you think about music?,0,0,0.13134765625,True
Do you like reading?,0,0,0.044921875,True
What's interesting about science?,0,0,0.14306640625,True
"Corruption involving the contractors is the chief culprit for the prison’s problems, according to a recent",0,1,-0.01611328125,False
5][6][7] The term was coined by the author Maki,0,1,-0.01171875,False
"As for the internals, the people with the most say are",0,0,0.0234375,True
"On March 2, 2017, roughly 100 of our",0,1,-0.0029296875,False
"Syrian Democratic Forces’ spokesman, Talal Silo defected from the group",0,1,-0.0244140625,False
"Fearing negative press over accusations of racism, they showed it in France and the UK and on certain US",0,1,-0.01953125,False
"The 10” THX Select uses a 10” cone and is THX Select certified, the 12” THX Ultra uses a 12",0,0,0.00244140625,True
"Given the sensitivity of this information, experts have warned that effective security is",0,0,0.01123046875,True
"The company allows users to use taxi-like services through their smartphones,",0,1,-0.03466796875,False
My wife and I are plotting now to move our Bank of,0,1,-0.0224609375,False
"The other five taxi operators, which run a total of 27,500 cabs, rent out their taxis",0,1,-0.01953125,False
"""When I finished my career I lived not far",0,0,0.01220703125,True
He also said that the LIDAR used in the new design was an off-the,0,0,0.00439453125,True
Seven members of two of New York's most notorious crime families have been arrested on,0,1,-0.0107421875,False
Preserving the nuclear accord is a top priority,0,1,-0.00341796875,False
"The Turks called up Keith Weissman, a senior researcher from the",0,1,-0.00732421875,False
It's just one of several new sites calling on,0,0,0.005859375,True
"The French president, Emmanuel Macron, has named a group of relative unknowns to senior",0,1,-0.001953125,False
Today Mr Turnbull admitted he was in danger of losing,0,0,0.00244140625,True
"“It was an explicit warning shot,” said Donald in a lecture at the Cambridge University",0,0,0.02783203125,True
As any tech expert like me would say : “For every,0,1,-0.00634765625,False
"Because of reporting lag, the most",0,0,0.01806640625,True
My girlfriend was just as excited as I was,0,0,0.01708984375,True
The use of a template saves plenty of time while generating graphics and,0,1,-0.013671875,False
Plenty of people try to pull fast,0,1,-0.02587890625,False
"Verge readers have confirmed the issue on a variety of handsets, and we understand it",0,1,-0.001953125,False
"Yet Alex Salmond went on to secure a landslide, delivering what most commentators – this one included – had",0,1,-0.00048828125,False
"""A very large part of the country's Health and Medicine Authority's financing comes directly from the very",0,0,0.009765625,True
"""On 4th January I will become a Liverpool player,""",0,1,-0.01171875,False
"During the recent cold snap that gripped Metro Detroit, Elise Cole",0,0,0.005859375,True
I’m happy to be on the roster and give,0,0,0.00048828125,True
"His service dog, Ketch, a yellow Labrador retriever, sits one school",0,1,-0.0107421875,False
"""It's very important for us because that's our next",0,0,0.03564453125,True
Fifty Tall Sisters came together in Santa,0,1,-0.00390625,False
Louis Board of Aldermen will vote on a financing package for a new $,0,1,-0.04638671875,False
Touitou also describes how the two of them went through old military archives and,0,1,-0.001953125,False
"Bronx officer Luis Rios’ alleged on-the-job tall tales were compounded by his lying about them in court, and",0,1,-0.0126953125,False
"As he said himself, a win in the state of Indiana would seal the deal, and so it",0,0,0.01025390625,True
Indian Bitcoin Company Zebpay Adds Power,0,1,-0.02587890625,False
"And already, it seems we need to remind",0,1,-0.0078125,False
"I shoveled snow off neighborhood driveways starting at age 10, and by the time I hit 13",0,1,-0.02978515625,False
dopamine D4 receptor gene (DRD4) might also contribute,0,1,-0.0009765625,False
"Before they tackled the dance sequence, Framestore had to",0,1,-0.02294921875,False
"Manchester, UK graphic artist Chris Thornley, also known as his once secret pseudonym Raid71",0,1,-0.013671875,False
It also said he could not expect French consumers' rights as the service,0,0,0.005859375,True
"“We think that the way they’re being handled is inappropriate to the crime, and we call on Russian authorities",0,1,-0.01611328125,False
"So they had to turn to other constituencies, which",0,1,-0.025390625,False
"The Instrument 1 made its debut on Kickstarter on March 3rd, and in",0,1,-0.0205078125,False
"An example of this is the argument that Pokkén is just a glorified game of ""Rock-Paper-Scissors"" - in reality, Pokkén is",0,0,0.0009765625,True
Many Tibetans are furious over the crackdown against protesters in Tibet and,0,1,-0.00732421875,False
"Until now, every five years, the town of Bariyarpur,",0,1,-0.0087890625,False
Two of them were airlifted to hospital,0,1,-0.01513671875,False
The investors have proposed to build the new stands and,0,1,-0.0068359375,False
If you are looking to save money on,0,1,-0.01708984375,False
"Of 500 babies, only one crocodile will reach adulthood,"" said Sudhakar Kar, a",0,1,-0.02490234375,False
"The OIC’s purpose, as stated explicitly in its April 2011 Annual Report on Islamophobia",0,0,0.01708984375,True
… You’ll get the chance to see,0,1,-0.00830078125,False
"Now, the new End TB Strategy is",0,0,0.00732421875,True
"""He's harmed American targets and the",0,0,0.0068359375,True
His stories invariably involved heroics and women and I,0,1,0.0,False
The result suggests that simians could help to objectively test neurofeedback and other brain-training treatments for,0,1,-0.01171875,False
The Oldham result shows how wrong it is to,0,1,-0.00439453125,False
Accel world was an anime that I personally started off loving but,0,1,-0.01953125,False
Two powerful elected officials in northern Virginia are vowing to,0,1,-0.01806640625,False
A mule train making the daily 16-mile round trip through,0,1,-0.0224609375,False
The song sparked theme parties at campus bars,0,0,0.00732421875,True
"She shook her head, that wasn't the point, the point was that the",0,0,0.03173828125,True
"Then on Saturday July 12 at 9pm, RatDog",0,1,-0.0029296875,False
"The watch list is a project of the nonprofit organization Turning Point USA, which, according to its website, is a",0,0,0.01123046875,True
Sergio DellaPergola Hebrew University demographer takes a look into the future of Judaism: Will peace,0,0,0.0166015625,True
They believe that millions – perhaps billions – of dollars have been lost as,0,0,0.0107421875,True
It reported that the,0,0,0.0478515625,True
There’s a problem that’s always dogged,0,0,0.033203125,True
"The Prostate MRI Imaging Study (Promis), led by researchers at University College London (UCL), also showed",0,0,0.013671875,True
Eva Holland | Longreads | February 2015,0,1,0.0,False
"In this paper, we would like to address",0,1,-0.00634765625,False
"Earlier this year the federal government approved Mifegymiso, a combination of mifepristone and misoprostol",0,1,-0.01171875,False
In her speech to the SNP conference Sturgeon will echo Swinney’s remarks as she suggests,0,0,0.005859375,True
The cup depth indication is subjective,0,0,0.01953125,True
To follow The Spokesman-Review’s coverage of the budget,0,1,-0.015625,False
"Mr Tisbury, who was an instructor at Fiskville, said the CFA was aware of contamination at Fiskville as early as",0,1,-0.00048828125,False
"That link is to the video, which unfortunately you’ll actually",0,0,0.0087890625,True
“This gives jurisdictions a lot of flexibility to shape a program that works for them,0,1,-0.00634765625,False
"Human beings, even depraved ones, who",0,0,0.00830078125,True
"On December 14, the National Labor Relations Board (NLRB) overturned a 2015 policy that had made it",0,1,-0.00390625,False
Indorse joins the growing list of,0,1,-0.01953125,False
"The shark, Hemiscyllium halmahera, uses its fins to wiggle along the seabed and",0,0,0.00048828125,True
"Speaking of which, if you wanna join the prrrrrty…use",0,1,-0.00537109375,False
The home world gems wrote this place off,0,0,0.01806640625,True
"Jennifer Jill Harman, Ph.D., during this free online psychology course",0,1,-0.0205078125,False
