queries,true_labels,predictions,scores,correct
What are cookies?,0,0,0.010681331157684326,True
How does photosynthesis work?,0,1,-0.00025027990341186523,False
Explain the water cycle,0,0,0.004006505012512207,True
What is gravity?,0,0,0.009766161441802979,True
How do magnets work?,0,0,0.003915607929229736,True
What causes seasons?,0,0,0.008022189140319824,True
How do plants grow?,0,0,0.002536475658416748,True
What is the solar system?,0,0,0.0017237067222595215,True
Explain cell division,0,0,0.008902132511138916,True
What are atoms made of?,0,0,0.006741464138031006,True
How do I bake bread?,0,1,-0.0030951499938964844,False
What's a healthy breakfast?,0,1,-0.001348257064819336,False
How to tie a tie?,0,1,-0.0065757036209106445,False
How do I change a tire?,0,1,-0.005958080291748047,False
What's the best way to study?,0,1,-0.007151663303375244,False
How to write a resume?,0,1,-0.006870090961456299,False
Tips for public speaking?,0,1,-0.0014200210571289062,False
How to start exercising?,0,1,-0.0038001537322998047,False
What are good study habits?,0,1,-0.0010017752647399902,False
How to save money?,0,1,-0.005696237087249756,False
What is machine learning?,0,0,0.006012618541717529,True
How does WiFi work?,0,0,0.002403438091278076,True
What is encryption?,0,0,0.008719325065612793,True
How do computers work?,0,0,0.001852273941040039,True
What is the internet?,0,0,0.003879368305206299,True
How do search engines work?,0,1,-0.0006332993507385254,False
What is cloud computing?,0,0,0.006233036518096924,True
How does GPS work?,0,0,0.0022922158241271973,True
What are algorithms?,0,0,0.009133219718933105,True
How do touchscreens work?,0,1,-0.0027674436569213867,False
Who invented the telephone?,0,0,0.0011016130447387695,True
What is the capital of France?,0,1,-0.0018558502197265625,False
When was the Constitution signed?,0,0,0.001082301139831543,True
What are the primary colors?,0,1,-0.00028961896896362305,False
How many continents are there?,0,0,6.657838821411133e-05,True
What is democracy?,0,0,0.008467018604278564,True
Who wrote Romeo and Juliet?,0,0,0.0007480382919311523,True
What are the planets?,0,0,0.0044476985931396484,True
When did WWII end?,0,0,0.0023197531700134277,True
What is the periodic table?,0,0,0.0031076669692993164,True
How are you today?,0,0,0.0014969706535339355,True
What's the weather like?,0,0,0.00018328428268432617,True
Can you help me?,0,1,-0.0038334131240844727,False
What time is it?,0,0,0.002097606658935547,True
Tell me a joke,0,0,0.004101753234863281,True
What's your favorite color?,0,1,-0.0009860992431640625,False
